subject,model,n_matched,pearson_r,pearson_p,spearman_r,spearman_p
sub-02,cornet,194,0.09784877741707576,0.17467713763149867,0.11790379376512596,0.10156509306211578
sub-02,resnet,194,-0.005465945663040551,0.9397052122806049,-0.04339922670140073,0.5479345508587065
sub-02,vit,194,0.08437202234977842,0.2421383782184597,0.008876087322751497,0.9022392983409161
sub-02,ensemble,194,0.0593539858379868,0.41102688778198987,0.04673566911695216,0.5175675504977121
sub-03,cornet,194,-0.08473078029143152,0.24013475176799334,-0.103456833749019,0.1511362560207958
sub-03,resnet,194,-0.04139294997803701,0.5666061654389074,-0.04701014492158127,0.5151084133835993
sub-03,vit,194,0.014978399339602651,0.8357846676386483,-0.0017347856993175082,0.9808473162626372
sub-03,ensemble,194,-0.03977427821348357,0.581887758219724,-0.03489540746097554,0.6290652492493662
sub-04,cornet,194,-0.01843146527663385,0.7986588209352795,-0.003171263862466255,0.9649958708660815
sub-04,resnet,194,-0.028476595693021866,0.693470445478945,-0.07582846083994525,0.2933244772233503
sub-04,vit,194,-0.035573004979198256,0.6224164337464517,-0.01871612709708965,0.7956171076353006
sub-04,ensemble,194,-0.03043055603852478,0.673603890048436,-0.017813808433967612,0.8052690823617236
sub-05,cornet,194,-0.04369354608657681,0.5452210335389497,-0.051255480271024306,0.477853393542324
sub-05,resnet,194,-0.04468608792216878,0.5361192394697805,-0.026265033508236328,0.7162103909676697
sub-05,vit,194,-0.03462325643554786,0.6317441491381685,-0.03602782560103216,0.617970614685991
sub-05,ensemble,194,-0.045141455182112246,0.5319689826745927,-0.03986555616276251,0.5810209572002258
sub-06,cornet,194,-0.1821434582826847,0.011026147434690362,-0.12790325960562593,0.075522130722502
sub-06,resnet,194,-0.14874391044723156,0.03846143129799012,-0.09842751661030599,0.17212899550552874
sub-06,vit,194,-0.1675441320722311,0.019539812997624455,-0.09174641394074115,0.20326422903013486
sub-06,ensemble,194,-0.1806309560709093,0.011721956746675342,-0.1293972626380083,0.0721428577577696
sub-07,cornet,194,0.014166540497894505,0.8445696560733289,0.013108274130655413,0.8560496760195702
sub-07,resnet,194,-0.01441822278261984,0.8418441389692971,0.006704934401104478,0.9260732181420045
sub-07,vit,194,0.004565397252347693,0.9496247524718102,0.01744564927087228,0.809215791225771
sub-07,ensemble,194,0.00020816083188712775,0.9977016106019169,0.006624399584177374,0.9269586929620293
sub-08,cornet,194,-0.04127511689220845,0.567712133990547,-0.023247443225008522,0.7476418228915521
