subject,model,n_matched,pearson_r,pearson_p,spearman_r,spearman_p
sub-02,cornet,24,0.18512252056352435,0.3864803253811546,0.16260869565217392,0.44775415138241537
sub-02,resnet,24,0.16328554115285387,0.44584061810386955,0.1591304347826087,0.45765578201494644
sub-02,vit,24,0.10896749005597062,0.6122633412855017,0.023478260869565212,0.9132865779270147
sub-02,ensemble,24,0.17004717691401197,0.4269642980544526,0.17130434782608694,0.42350313678440465
sub-03,cornet,24,-0.22334310530091833,0.29414657277212025,-0.2539130434782608,0.2312073651674543
sub-03,resnet,24,-0.17691167776309644,0.40825271141691644,-0.10782608695652172,0.6160158821815657
sub-03,vit,24,-0.028071918585474885,0.8964022881641127,0.019130434782608695,0.9293010160374854
sub-03,ensemble,24,-0.16155969305125217,0.4507283780049972,-0.11565217391304347,0.5904783168868414
sub-04,cornet,24,-0.15186373562888186,0.47870540565857006,-0.2078260869565217,0.32981861780551774
sub-04,resnet,24,0.0661797820717959,0.7586587149360058,-0.07739130434782608,0.7192671455433247
sub-04,vit,24,-0.2008198337456097,0.34674240998713135,-0.19652173913043475,0.35737406951590367
sub-04,ensemble,24,-0.09610507784767124,0.6550776879235718,-0.14608695652173911,0.4957829296843137
sub-05,cornet,24,0.10652749626877013,0.620296576086961,0.09652173913043478,0.6536731719946907
sub-05,resnet,24,0.26364220654226467,0.21320707592946425,0.29304347826086957,0.16461785270058824
sub-05,vit,24,0.10650233714411733,0.6203796298381252,0.12782608695652173,0.5516845044816037
sub-05,ensemble,24,0.18199863808645633,0.394684895573702,0.18608695652173912,0.38396703397174836
sub-06,cornet,24,-0.16051038049277916,0.45371385748044835,-0.1678260869565217,0.4331165526494356
sub-06,resnet,24,-0.22326794594460647,0.29431331765441027,-0.33391304347826084,0.11078683255713415
sub-06,vit,24,-0.3155455770585134,0.13309534775386744,-0.3695652173913043,0.07550604515168578
sub-06,ensemble,24,-0.2564403413936884,0.22643804755406446,-0.26086956521739124,0.21823795857184647
sub-07,cornet,24,0.334041653645192,0.11064099553345996,0.3504347826086956,0.0931821716598171
sub-07,resnet,24,0.1714865959951974,0.42300265355116173,0.2939130434782608,0.16331057776591748
sub-07,vit,24,0.08389342344134332,0.696728696240333,0.2678260869565217,0.20576390509564654
sub-07,ensemble,24,0.21804532302106855,0.3060441646921945,0.4052173913043478,0.049486403439549555
sub-08,cornet,24,0.3336295402362565,0.11110880824880075,0.437391304347826,0.03256619344201188
sub-08,resnet,24,0.3659240412186702,0.07865702153072204,0.5008695652173912,0.012665278925668667
sub-08,vit,24,0.350194607652841,0.0934221245938335,0.5530434782608695,0.0050629333156804145
sub-08,ensemble,24,0.3883364246102061,0.060757194606317046,0.5165217391304348,0.009761613063737259
sub-09,cornet,24,0.15855271972660293,0.45931136219219926,0.05826086956521739,0.7868436161547347
sub-09,resnet,24,0.30767952608542304,0.14357587104666536,0.15304347826086956,0.4752549676743847
sub-09,vit,24,0.2802709375438115,0.18466930810353543,0.20956521739130432,0.32569617157142167
sub-09,ensemble,24,0.2780577951645668,0.18830723770312324,0.16695652173913042,0.4355381053206146
sub-14,cornet,24,0.03944617251149491,0.8547975703455111,0.11130434782608695,0.6046100724044845
sub-14,resnet,24,0.2635846138884205,0.2133107776583723,0.29130434782608694,0.16725434336435263
sub-14,vit,24,0.04210745419227681,0.8451130291400497,0.1452173913043478,0.49837946924561144
sub-14,ensemble,24,0.1359371639562455,0.5265031243145719,0.25999999999999995,0.2198319601699354
sub-15,cornet,24,-0.05571863198972097,0.7959491150906611,-0.027826086956521737,0.8973048186218164
sub-15,resnet,24,-0.2577720159570087,0.22395146262041396,-0.32695652173913037,0.11888708485840495
sub-15,vit,24,-0.21542421094783343,0.3120386362667956,-0.34434782608695647,0.0994067009930167
sub-15,ensemble,24,-0.19874453600745454,0.3518522133076176,-0.22347826086956518,0.2938468714348544
sub-16,cornet,24,0.017729475787484447,0.9344671690022436,0.08173913043478259,0.7041697144360881
sub-16,resnet,24,0.12172620468081564,0.570976716767011,0.021739130434782605,0.9196887674366273
sub-16,vit,24,0.04247876967464734,0.8437634892405605,0.0608695652173913,0.7775281884531549
sub-16,ensemble,24,0.07049150576536434,0.7434345088418819,0.0826086956521739,0.7011629844471834
sub-18,cornet,24,-0.1288821136159639,0.5483751174735384,-0.1034782608695652,0.6303950708493538
sub-18,resnet,24,0.13917763343332917,0.5165980316787827,0.19999999999999998,0.34875573272354565
sub-18,vit,24,-0.09140399615284159,0.6710021979464122,0.05826086956521739,0.7868436161547347
sub-18,ensemble,24,-0.02066809740696595,0.9236339525565338,0.05652173913043478,0.7930697839291405
sub-19,cornet,24,-0.09895497924013652,0.645493903683422,-0.042608695652173914,0.8432913759776879
sub-19,resnet,24,-0.05403327184479603,0.8019999002309852,0.08086956521739129,0.7071807504682381
sub-19,vit,24,0.1337146236005194,0.5333484461388225,0.08173913043478259,0.7041697144360881
sub-19,ensemble,24,-0.011603676677489363,0.9570840569949912,0.05304347826086955,0.8055586374612034
sub-20,cornet,24,0.3143540237111556,0.13464647594407708,0.2669565217391304,0.20729622036281858
sub-20,resnet,24,0.3051807038290362,0.14702508045812462,0.25217391304347825,0.23452757092161952
sub-20,vit,24,0.17366456856237444,0.4170465623655064,0.04,0.8527804394339903
sub-20,ensemble,24,0.2962328146856355,0.15985875286073098,0.21826086956521737,0.3055543915844942
sub-21,cornet,24,-0.19019823587427545,0.3733579964839655,-0.18086956521739128,0.3976742074169041
sub-21,resnet,24,0.032868255709592745,0.8788195923415268,-0.08695652173913042,0.6861953252985288
sub-21,vit,24,-0.12637439312833207,0.5562486720463053,-0.15304347826086956,0.4752549676743847
