subject,n_conditions,pearson_r,pearson_p,spearman_r,spearman_p
sub-02,297,0.00518009129180979,0.9291643883298557,0.02174023581184041,0.7090527239646011
sub-03,297,-0.10296915335004124,0.07643316857730262,-0.08662425817947918,0.13639231952832034
sub-04,297,-0.057378322103846094,0.3243871938840862,-0.04896362844348128,0.40047681648322847
sub-05,297,-0.04332940697411038,0.4569212161074397,-0.03511144279345907,0.5466857465640292
sub-06,297,-0.05783417545226203,0.3205516972799144,-0.03448617052453446,0.5538547380601724
sub-07,297,-0.024791247094393565,0.6704661247860908,-0.006974190691851459,0.9047321725961764
sub-08,297,0.01580612095141543,0.7861864372528077,0.0250589886238249,0.6671190999170202
sub-09,297,0.0250578759669702,0.6671329956203159,0.05564923193429062,0.33920456550388317
sub-14,297,-0.06457904931902099,0.26725747863068217,-0.06416255436503343,0.2703614110219263
sub-15,297,0.05096186325018383,0.3815053110113983,0.024000835553337093,0.6803848373515013
sub-16,297,-0.012182244345083582,0.8343955974423558,-0.008994301099146364,0.8773302622439622
sub-18,297,-0.034072029662514304,0.5586281022986211,0.0037516336135476817,0.9486660095945643
sub-19,297,0.06227780145652793,0.28471427908330316,0.014910338720510015,0.7980351828588578
sub-20,297,0.028692534927423293,0.6223698594660092,-0.005579352553481167,0.9237206409685894
sub-21,297,-0.06801559152471422,0.24257681563235295,-0.07690848907772747,0.18623935182514148
sub-23,297,-0.15543136334525656,0.007281480893250695,-0.11105797453437945,0.055903714800495434
sub-24,297,-0.031037726210748174,0.5941947027116892,-0.03448617052453446,0.5538547380601724
sub-25,297,0.05922134954331068,0.3090623482243473,0.05343673005963428,0.35878414403525405
sub-26,297,-0.13061249569952194,0.02437954626088204,-0.10846068972500028,0.06192866350793217
sub-27,297,0.07820587928867011,0.17889931599918832,0.09749437608539938,0.09352294316530203
sub-28,297,-0.09502893175879475,0.10215521163242028,-0.06483592450079839,0.265355314668655
sub-29,297,0.02402939194095818,0.6800255168254852,0.032466060117239556,0.5773242007264848
sub-30,297,0.11045538127224525,0.05725642819158955,0.08864436858677407,0.12745143330633166
sub-42,297,0.1705110691461919,0.0032008603096939574,0.17815449877667452,0.0020561192882936922
sub-43,297,0.07813814154479606,0.17927716870426944,0.09061638112722861,0.11916771057488963
